rank,fiscal_year,posting_date,agency,category1,payee,appropriation_1_name,amount,risk_score,markers,verify_status,overtaker_interest,public_context
763,2016,2015-10-20,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SECURITY TITLE AGENCY INC,FEDERAL AID,1200420.0000,6.5,"whole_dollar,no_contract_named,offcontract",explained_benign,2,"Security Title Agency Inc. is a long-established Arizona title insurance and escrow company (Phoenix-based, operating statewide), routinely used as the escrow/closing agent for real-property transactions including government right-of-way land acquisitions."
764,2021,2021-06-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FNF CONSTRUCTION INC,2.6 PERCENT DISTRIBUTION,1182986.0000,6.5,"whole_dollar,no_contract_named,offcontract",explained_benign,2,
765,2023,2023-05-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,WILLIAM CHARLES CONSTRUCTION COMPANY LLC,FEDERAL AID,1176984.8800,6.5,"new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
766,2024,2024-05-13,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,1174345.0000,6.5,"whole_dollar,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
767,2017,2017-02-10,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SHELL-O-MATIC,FEDERAL AID,1167536.2200,6.5,"new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
768,2019,2018-12-21,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,DICKINSON WRIGHT PLLC,,1166045.0000,6.5,whole_dollar,screened_unreviewed,,
769,2023,2023-05-12,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,EMERY SAPP & SONS INC AND SUBSIDIARIES,FEDERAL AID,1146272.2700,6.5,"new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
770,2021,2021-03-12,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,AMES CONSTRUCTION INC,FEDERAL AID,1129761.0000,6.5,"whole_dollar,no_contract_named,offcontract",screened_unreviewed,,
771,2020,2020-04-07,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SECURITY TITLE AGENCY INC,,1125423.0000,6.5,whole_dollar,screened_unreviewed,,
772,2023,2023-02-13,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SUNDT CS A JOINT VENTURE,ADOT CORONAVIRUS STATE AND LOCAL FISCAL RECOVERY FUND APPROP,1119859.3500,6.5,"new_vendor_large,no_contract_named,offcontract",mixed,3,"Sundt Construction is a large employee-owned, Arizona-headquartered general/heavy-civil contractor (founded 1890); 'CS A JOINT VENTURE' denotes a project-specific JV it forms for ADOT freeway/transportation work."
773,2021,2021-01-06,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,UNITED FIRE & CASUALITY,FEDERAL AID,1113283.2100,6.5,"new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
774,2023,2022-10-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SEMA CONSTRUCTION INC,FEDERAL AID,1105362.2400,6.5,"new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
775,2023,2023-06-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,WILLIAM CHARLES CONSTRUCTION COMPANY LLC,FEDERAL AID,1073540.3700,6.5,"new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
776,2023,2022-08-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SEMA CONSTRUCTION INC,FEDERAL AID,1059974.7800,6.5,"new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
777,2023,2022-12-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,EMERY SAPP & SONS INC AND SUBSIDIARIES,FEDERAL AID,1059486.0700,6.5,"new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
778,2023,2022-12-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SEMA CONSTRUCTION INC,FEDERAL AID,1054520.9900,6.5,"new_vendor_large,no_contract_named,offcontract",screened_unreviewed,,
779,2018,2018-06-01,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,LARON INCORPORATED,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,1045738.0000,6.5,"whole_dollar,no_contract_named,offcontract",screened_unreviewed,,
780,2017,2016-07-21,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,FANN CONTRACTING INC,AVIATION - FEDERAL REVENUE  EXPENDITURE,1043430.0000,6.5,"whole_dollar,no_contract_named,offcontract",screened_unreviewed,,
781,2018,2018-05-07,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SECURITY TITLE AGENCY INC,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,1041528.0000,6.5,"whole_dollar,no_contract_named,offcontract",explained_benign,2,"Security Title Agency Inc. is a long-established Arizona title insurance and escrow company (Phoenix-based, operating statewide), routinely used as the escrow/closing agent for real-property transactions including government right-of-way land acquisitions."
782,2023,2022-12-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,1024957.5000,6.5,"new_vendor_large,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
783,2020,2019-08-23,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,MARICOPA COUNTY,,1000000.0000,6.5,round_1m,screened_unreviewed,,
784,2016,2016-05-25,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,ADAMAN IRRIGATION WATER DELIVERY DISTRIT,M-RARF CONSTRUCT FREEWAYS  OTH RT 56-2,1000000.0000,6.5,round_1m,screened_unreviewed,,
785,2018,2018-01-04,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,MARICOPA COUNTY,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,1000000.0000,6.5,round_1m,false_positive_marker,2,
786,2019,2019-03-13,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,MARICOPA COUNTY,,1000000.0000,6.5,round_1m,screened_unreviewed,,
787,2024,2023-09-12,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,PUBLIC CONSULTING GROUP LLC,EPD ARPA INITIATIVES,16169856.3800,6.0,peer_outlier,screened_unreviewed,,
788,2024,2023-09-13,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,EPD ARPA INITIATIVES,16169856.3800,6.0,manual_rail_disc,screened_unreviewed,,
789,2024,2023-09-15,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,EPD ARPA INITIATIVES,16169856.3800,6.0,manual_rail_disc,screened_unreviewed,,
790,2024,2023-09-22,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,EPD ARPA INITIATIVES,16169856.3800,6.0,manual_rail_disc,screened_unreviewed,,
791,2024,2023-09-18,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,EPD ARPA INITIATIVES,16169856.3800,6.0,manual_rail_disc,screened_unreviewed,,
792,2021,2020-09-24,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,PUBLIC HEALTH EMERGENCIES,11469053.7800,6.0,manual_rail_disc,screened_unreviewed,,
793,2021,2021-02-23,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,PUBLIC HEALTH EMERGENCIES,10616298.3900,6.0,manual_rail_disc,screened_unreviewed,,
794,2019,2018-09-25,ATTORNEY GENERAL (DEPT OF LAW),PROFESSIONAL AND OUTSIDE SERVICES,"KCC CLASS ACTION SERVICES, LLC",,10518358.4500,6.0,peer_outlier,screened_unreviewed,,
795,2025,2024-07-10,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,10068852.5000,6.0,sole_source,mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
796,2021,2021-03-05,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,PUBLIC HEALTH EMERGENCIES,9500000.0000,6.0,manual_rail_disc,screened_unreviewed,,
797,2023,2022-08-16,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,CENTURION OF ARIZONA LLC,INMATE HEALTH CARE CONTRACTED SERVICES,9499605.6100,6.0,true_duplicate,explained_benign,3,"Centurion of Arizona LLC (a Centene/MHM subsidiary) was awarded the Arizona Department of Corrections statewide inmate correctional-healthcare contract (RFP ADOC18-00008264), effective July 1, 2019, at roughly $204M per year to serve the state's 10 prison facilities."
798,2023,2022-09-14,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,CENTURION OF ARIZONA LLC,INMATE HEALTH CARE CONTRACTED SERVICES,9499605.6100,6.0,true_duplicate,explained_benign,3,"Centurion of Arizona LLC (a Centene/MHM subsidiary) was awarded the Arizona Department of Corrections statewide inmate correctional-healthcare contract (RFP ADOC18-00008264), effective July 1, 2019, at roughly $204M per year to serve the state's 10 prison facilities."
799,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,8973332.9300,6.0,manual_rail_disc,screened_unreviewed,,
800,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,8973332.9300,6.0,manual_rail_disc,screened_unreviewed,,
801,2023,2022-08-25,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,CENTURION OF ARIZONA LLC,INMATE HEALTH CARE CONTRACTED SERVICES,8905880.2600,6.0,true_duplicate,explained_benign,3,"Centurion of Arizona LLC (a Centene/MHM subsidiary) was awarded the Arizona Department of Corrections statewide inmate correctional-healthcare contract (RFP ADOC18-00008264), effective July 1, 2019, at roughly $204M per year to serve the state's 10 prison facilities."
802,2023,2022-08-16,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,CENTURION OF ARIZONA LLC,INMATE HEALTH CARE CONTRACTED SERVICES,8905880.2600,6.0,true_duplicate,explained_benign,3,"Centurion of Arizona LLC (a Centene/MHM subsidiary) was awarded the Arizona Department of Corrections statewide inmate correctional-healthcare contract (RFP ADOC18-00008264), effective July 1, 2019, at roughly $204M per year to serve the state's 10 prison facilities."
803,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,8412499.6200,6.0,manual_rail_disc,screened_unreviewed,,
804,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,8412499.6200,6.0,manual_rail_disc,screened_unreviewed,,
805,2021,2020-07-14,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,INMATE HEALTH CARE CONTRACTED SERVICES,8412499.6200,6.0,manual_rail_disc,screened_unreviewed,,
806,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,8412499.6200,6.0,manual_rail_disc,screened_unreviewed,,
807,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,8412499.6200,6.0,manual_rail_disc,screened_unreviewed,,
808,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,8412499.6200,6.0,manual_rail_disc,screened_unreviewed,,
809,2023,2023-06-29,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,DELOITTE CONSULTING,DCSS OPERATING LUMP SUM 2091,7874284.6400,6.0,peer_outlier,mixed,2,"Deloitte Consulting LLP is one of the Big Four professional-services firms and a leading government IT systems integrator; it commonly holds multi-year state contracts for replacing legacy child-support, eligibility, and enterprise application systems."
810,2020,2019-12-11,DEPT OF WATER RESOURCES,PROFESSIONAL AND OUTSIDE SERVICES,COLORADO RIVER INDIAN TRIBES,,7770000.0000,6.0,peer_outlier,screened_unreviewed,,
811,2021,2020-10-22,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,PUBLIC HEALTH EMERGENCIES,7741973.7800,6.0,manual_rail_disc,screened_unreviewed,,
812,2024,2024-03-19,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,7216352.5000,6.0,sole_source,mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
813,2021,2020-07-15,LOTTERY COMMISSION,CAPITAL EQUIPMENT,SCIENTIFIC GAMES INTERNATIONAL,PRINTING OF INSTANT TICKETS,7167600.0000,6.0,"whole_dollar,offcontract",screened_unreviewed,,
814,2023,2022-12-21,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,EDUCATION FOR THE DISADVANTAGED,7002093.5600,6.0,manual_rail_disc,screened_unreviewed,,
815,2019,2018-10-05,LOTTERY COMMISSION,CAPITAL EQUIPMENT,SCIENTIFIC GAMES INTERNATIONAL,,7000000.0000,6.0,round_1m,screened_unreviewed,,
816,2023,2023-06-26,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,PERKINS COIE LLP,HEALTH CARE AOOE,6381656.1700,6.0,"no_contract_named,offcontract",screened_unreviewed,,
817,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,6022832.0500,6.0,manual_rail_disc,screened_unreviewed,,
818,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,6022832.0500,6.0,manual_rail_disc,screened_unreviewed,,
819,2020,2020-04-21,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,6022832.0500,6.0,manual_rail_disc,screened_unreviewed,,
820,2016,2016-04-07,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,"GEO CORRECTIONS AND DETENTION, LLC",PRIVATE PRISON PER DIEM,5800000.0000,6.0,round_100k,screened_unreviewed,,
821,2025,2025-04-23,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,DELOITTE CONSULTING,DCSS OPERATING LUMP SUM 2091,5655310.2500,6.0,peer_outlier,mixed,2,"Deloitte Consulting LLP is one of the Big Four professional-services firms and a leading government IT systems integrator; it commonly holds multi-year state contracts for replacing legacy child-support, eligibility, and enterprise application systems."
822,2025,2025-06-27,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,EPD ARPA INITIATIVES,5450245.2900,6.0,manual_rail_disc,screened_unreviewed,,
823,2020,2020-05-01,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,5330000.0000,6.0,manual_rail_disc,screened_unreviewed,,
824,2023,2023-06-26,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,PROP 204 AHCCCS ADMINISTRATION,5000000.0000,6.0,manual_rail_disc,screened_unreviewed,,
825,2023,2023-03-16,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,OPERATING LUMP SUM APPROPRIATION,5000000.0000,6.0,manual_rail_disc,screened_unreviewed,,
826,2018,2017-12-18,ATTORNEY GENERAL (DEPT OF LAW),PROFESSIONAL AND OUTSIDE SERVICES,N/A,NON APPROPRIATED REVENUES AND EXPENDITURES,4652000.0000,6.0,manual_rail_disc,screened_unreviewed,,
827,2023,2023-06-28,DEPT OF WATER RESOURCES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,CORONAVIRUS STATE AND LOCAL FISCAL RECOVERY FUNDS,4528080.7500,6.0,manual_rail_disc,screened_unreviewed,,
828,2023,2023-04-21,DEPT OF PUBLIC SAFETY,PROFESSIONAL AND OUTSIDE SERVICES,COCHISE COUNTY,BORDER STRIKE TASK FORCE LOCAL SUPPORT,4500000.0000,6.0,round_100k,screened_unreviewed,,
829,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,4435331.6700,6.0,manual_rail_disc,screened_unreviewed,,
830,2023,2023-06-29,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,DELOITTE CONSULTING,DCSS OPERATING LUMP SUM SSRE,4056449.6600,6.0,peer_outlier,mixed,2,"Deloitte Consulting LLP is one of the Big Four professional-services firms and a leading government IT systems integrator; it commonly holds multi-year state contracts for replacing legacy child-support, eligibility, and enterprise application systems."
831,2023,2022-10-12,DEPT OF EMERGENCY AND MILITARY AFFAIRS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,BORDER SECURITY FENCE AND TECHNOLOGIES,4000000.0000,6.0,manual_rail_disc,screened_unreviewed,,
832,2020,2020-07-24,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,3977167.9500,6.0,manual_rail_disc,screened_unreviewed,,
833,2025,2024-09-17,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,EDUCATION FOR THE DISADVANTAGED,3898793.9800,6.0,manual_rail_disc,screened_unreviewed,,
834,2021,2020-10-22,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,PUBLIC HEALTH EMERGENCIES,3727080.0000,6.0,manual_rail_disc,screened_unreviewed,,
835,2020,2019-12-11,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,PUBLIC CONSULTING GROUP INC,,3560412.7300,6.0,peer_outlier,screened_unreviewed,,
836,2025,2024-09-06,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,SOLIX INC,EDUCATION FOR THE DISADVANTAGED,3554410.7500,6.0,peer_outlier,screened_unreviewed,,
837,2023,2023-01-31,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,EDUCATION FOR THE DISADVANTAGED,3448642.7900,6.0,manual_rail_disc,screened_unreviewed,,
838,2025,2025-01-07,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,SOLIX INC,EDUCATION FOR THE DISADVANTAGED,3294669.2000,6.0,peer_outlier,screened_unreviewed,,
839,2020,2020-05-20,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,PUBLIC CONSULTING GROUP INC,,3275882.2500,6.0,peer_outlier,screened_unreviewed,,
840,2021,2020-09-18,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,CORONAVIRUS DISEASE 2019,3233000.0000,6.0,manual_rail_disc,screened_unreviewed,,
841,2021,2021-03-05,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,PUBLIC HEALTH EMERGENCIES,3000000.0000,6.0,manual_rail_disc,screened_unreviewed,,
842,2025,2025-07-14,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,EDUCATION FOR THE DISADVANTAGED,3000000.0000,6.0,manual_rail_disc,screened_unreviewed,,
843,2025,2025-04-23,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,DELOITTE CONSULTING,DCSS OPERATING LUMP SUM SSRE,2913341.6400,6.0,peer_outlier,mixed,2,"Deloitte Consulting LLP is one of the Big Four professional-services firms and a leading government IT systems integrator; it commonly holds multi-year state contracts for replacing legacy child-support, eligibility, and enterprise application systems."
844,2025,2024-12-09,DEPT OF PUBLIC SAFETY,PROFESSIONAL AND OUTSIDE SERVICES,MOTOROLA SOLUTIONS INC,LAND MOBILE RADIO EXPANSION AND UPGRADES,2778655.6500,6.0,peer_outlier,false_positive_marker,2,"Motorola Solutions Inc. (NYSE: MSI, headquartered near Chicago) is the dominant U.S. provider of public-safety land-mobile-radio (P25) systems; multi-year, multi-million-dollar statewide radio contracts with state police/DOT agencies are its core line of business."
845,2023,2023-01-17,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,FIDELITY NATIONAL INFORMATION SERVICES,DBME OPERATING LUMP SUM CLEARING,2764280.9500,6.0,peer_outlier,screened_unreviewed,,
846,2016,2016-02-01,DEPT OF CHILD SAFETY,PROFESSIONAL AND OUTSIDE SERVICES,,DCS NON-APPROPRIATED- OPERATING CLEARING,2740119.0000,6.0,manual_rail_disc,screened_unreviewed,,
847,2023,2022-12-09,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,NCS PEARSON INC,ACHIEVEMENT TESTING ASSESSMENT,2706725.7500,6.0,peer_outlier,screened_unreviewed,,
848,2023,2023-04-26,GOVERNOR'S OFFICE,PROFESSIONAL AND OUTSIDE SERVICES,ARIZONA SCIENCE CENTER,CORONAVIRUS STATE & LOCAL FISCAL RECOVERY FUND APPROPRIATION,2686428.5900,6.0,peer_outlier,screened_unreviewed,,
849,2018,2018-06-20,DEPT OF ADMINISTRATION,PROFESSIONAL AND OUTSIDE SERVICES,IBM CREDIT LLC,OPERATING LUMP SUM APPROPRIATION,2648384.0100,6.0,peer_outlier,screened_unreviewed,,
850,2024,2024-06-25,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,SOLIX INC,EDUCATION FOR THE DISADVANTAGED,2562958.4900,6.0,"short_tenure_vendor,new_vendor_large",screened_unreviewed,,
851,2025,2024-12-17,GOVERNOR'S OFFICE,PROFESSIONAL AND OUTSIDE SERVICES,N/A,CORONAVIRUS STATE & LOCAL FISCAL RECOVERY FUND APPROPRIATION,2542922.1400,6.0,manual_rail_disc,screened_unreviewed,,
852,2024,2023-08-29,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,N/A,SBS ADMINISTRATION FEE,2500000.0000,6.0,manual_rail_disc,screened_unreviewed,,
853,2023,2023-06-16,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,ELA- AZELLA ADMIN,2500000.0000,6.0,manual_rail_disc,screened_unreviewed,,
854,2023,2023-06-08,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,SCHOOL SAFETY PROGRAM-ASSISTANCE,2500000.0000,6.0,manual_rail_disc,screened_unreviewed,,
855,2024,2024-04-01,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,ARIZONA SCIENCE CENTER,PHOENIX SCIENCE EDUCATION PROGRAMS,2500000.0000,6.0,round_100k,screened_unreviewed,,
856,2021,2021-04-15,DEPT OF WATER RESOURCES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,COLORADO RIVER MANAGEMENT,2482358.7600,6.0,manual_rail_disc,screened_unreviewed,,
857,2021,2021-05-05,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VALORIT,FEDERAL GRANTS,2453950.8200,6.0,peer_outlier,screened_unreviewed,,
858,2025,2024-12-19,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,DELOITTE CONSULTING,DCSS OPERATING LUMP SUM 2091,2436510.8300,6.0,peer_outlier,mixed,2,"Deloitte Consulting LLP is one of the Big Four professional-services firms and a leading government IT systems integrator; it commonly holds multi-year state contracts for replacing legacy child-support, eligibility, and enterprise application systems."
859,2021,2020-11-18,SECRETARY OF STATE (DEPT OF STATE),PROFESSIONAL AND OUTSIDE SERVICES,THE LAVIDGE CO,CENTER FOR ELECTION INNOVATION AND RESEARCH PUBLIC EDUCATION,2427393.1900,6.0,peer_outlier,screened_unreviewed,,
860,2019,2019-06-27,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,PUBLIC CONSULTING GROUP INC,,2392116.1300,6.0,peer_outlier,screened_unreviewed,,
861,2025,2024-10-22,SECRETARY OF STATE (DEPT OF STATE),PROFESSIONAL AND OUTSIDE SERVICES,ADVANTAGE MAILING INC,ELECTION SERVICES,2381435.2300,6.0,peer_outlier,screened_unreviewed,,
862,2023,2022-08-29,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,GEO SECURE SERVICES LLC,PRIVATE PRISON PER DIEM,2379012.3000,6.0,true_duplicate,explained_benign,3,"GEO Secure Services LLC is a subsidiary of The GEO Group (NYSE: GEO), a publicly traded private-prison and detention operator that runs Arizona facilities including ASP-Kingman, Florence West, and Phoenix West under long-standing Arizona Department of Corrections contracts."
863,2023,2022-07-07,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,GEO SECURE SERVICES LLC,PRIVATE PRISON PER DIEM,2379012.3000,6.0,true_duplicate,explained_benign,3,"GEO Secure Services LLC is a subsidiary of The GEO Group (NYSE: GEO), a publicly traded private-prison and detention operator that runs Arizona facilities including ASP-Kingman, Florence West, and Phoenix West under long-standing Arizona Department of Corrections contracts."
864,2024,2024-05-06,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,NCS PEARSON INC,ACHIEVEMENT TESTING ASSESSMENT,2337680.8900,6.0,true_duplicate,screened_unreviewed,,
865,2024,2024-02-28,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,NCS PEARSON INC,ACHIEVEMENT TESTING ASSESSMENT,2337680.8900,6.0,true_duplicate,screened_unreviewed,,
866,2020,2019-08-29,AHCCCS,PROFESSIONAL AND OUTSIDE SERVICES,PUBLIC CONSULTING GROUP INC,,2326773.3900,6.0,peer_outlier,screened_unreviewed,,
867,2021,2021-06-17,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,MAXIMUS HUMAN SERVICES INC,DERS OPER NON-APPR,2281788.2600,6.0,peer_outlier,screened_unreviewed,,
868,2016,2016-03-07,DEPT OF ADMINISTRATION,PROFESSIONAL AND OUTSIDE SERVICES,,WORKERS COMPENSATION LOSSES  PREMIUMS,2264122.5200,6.0,manual_rail_disc,screened_unreviewed,,
869,2016,2016-05-04,DEPT OF TRANSPORTATION,PROFESSIONAL AND OUTSIDE SERVICES,MARICOPA ASSOC OF GOVNTS,FEDERAL AID,2258034.9600,6.0,peer_outlier,screened_unreviewed,,
870,2016,2016-05-25,DEPT OF ADMINISTRATION,PROFESSIONAL AND OUTSIDE SERVICES,CGI TECHNOLOGIES AND SOLUTIONS INC,AFIS REPLACEMENT ERP,2197675.5000,6.0,peer_outlier,screened_unreviewed,,
871,2021,2021-05-05,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,N/A,PUBLIC HEALTH EMERGENCIES,2197072.3900,6.0,manual_rail_disc,screened_unreviewed,,
872,2025,2025-07-11,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,ADULT EDUCATION CONTINUING HIGH SCHOOL & WORKFORCE TRAINING,2177175.0000,6.0,manual_rail_disc,screened_unreviewed,,
873,2021,2021-04-05,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VALORIT,PUBLIC HEALTH EMERGENCIES,2151075.0400,6.0,peer_outlier,screened_unreviewed,,
