entity_name,names_merged,n_vendor_ids,hv_txn,hv_exposure,n_flagged,flagged_exposure,n_tier1,usd_tier1,n_tier2,top_tier,max_risk_score,first_year,last_year,n_agencies,agencies,top_markers,verify_verdict,overtaker_interest,public_context,entity_key
THE ESTATE OF JOSSIAH CHATMAN A MINOR,1,1,1,190544,1,190544,0,,0,3,4.2,2022,2022,1,DEPT OF ADMINISTRATION,new_vendor_large,,,,THE ESTATE OF JOSSIAH CHATMAN A MINOR
LAW OFFICE OF CHRISTOPHER J CURRAN PC,1,1,1,250000,1,250000,0,,0,3,4.2,2023,2023,1,DEPT OF ADMINISTRATION,new_vendor_large,,,,LAW OFFICE OF CHRISTOPHER J CURRAN PC
VSS INTERNATIONAL,1,2,34,11029813,21,8036265,0,,0,3,4.2,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar|no_contract_named,,,,VSS INTERNATIONAL
INSIGHT PUBLIC SECTOR INC,1,2,21,4269534,5,1119492,0,,0,3,4.2,2018,2025,5,DEPT OF PUBLIC SAFETY|DEPT OF ECONOMIC SECURITY|SUPREME COURT|DEPT OF TRANSPORTATION|DEPT OF ENVIRONMENTAL QUALITY,whole_dollar,,,,INSIGHT PUBLIC SECTOR INC
BROKEN ARROW CONSTRUCTION CORPORATION,1,1,6,1056111,5,779954,0,,0,3,4.2,2021,2022,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,new_vendor_large|whole_dollar,,,,BROKEN ARROW CONSTRUCTION CORPORATION
ELYSE GOLOB AND MESCH CLARK & ROTHSCHILD,1,1,1,150000,1,150000,0,,0,3,4.2,2024,2024,1,DEPT OF ADMINISTRATION,new_vendor_large,,,,ELYSE GOLOB AND MESCH CLARK & ROTHSCHILD
MARSH DEVELOPMENT INC,1,1,5,1009431,1,126039,0,,0,3,4.2,2023,2024,2,DEPT OF EMERGENCY AND MILITARY AFFAIRS|GAME AND FISH DEPARTMENT,whole_dollar,,,,MARSH DEVELOPMENT INC
EMERGENT DEVICES INC,1,1,5,1050472,1,188964,0,,0,3,4.2,2025,2025,2,DEPT OF CORRECTIONS|DEPT OF HEALTH SERVICES,whole_dollar,,,,EMERGENT DEVICES INC
MEDIMPACT HEALTHCARE SYSTEMS INC,2,3,1504,2300336572,6,5588263,0,,1,2,4.2,2016,2025,4,DEPT OF CHILD SAFETY|AHCCCS|DEPT OF ECONOMIC SECURITY|DEPT OF ADMINISTRATION,whole_dollar,,,,MEDIMPACT HEALTHCARE SYSTEMS INC
JBILLING,1,2,7,3350000,2,950000,0,,0,3,4.2,2016,2022,1,DEPT OF ADMINISTRATION,whole_dollar,,,,JBILLING
PRUDENTIAL ASSIGNED SETTLEMENT SERVICES CORP,1,1,1,403654,1,403654,0,,0,3,4.2,2024,2024,1,DEPT OF ADMINISTRATION,new_vendor_large,,,,PRUDENTIAL ASSIGNED SETTLEMENT SERVICES CORP
DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,1,38,58338668,5,20759996,0,,4,2,4.2,2016,2025,3,STATEWIDE SYSTEMS PROCESSING|PERSONNEL BOARD|DEPT OF ADMINISTRATION,whole_dollar,false_positive_marker,1,,DEPARTMENT OF HEALTH AND HUMAN SERVICES
DH PACE COMP INC,1,2,10,1358811,2,221721,0,,0,3,4.2,2018,2025,4,DEPT OF PUBLIC SAFETY|DEPT OF ADMINISTRATION|DEPT OF TRANSPORTATION|DEPT OF VETERANS SERVICES,whole_dollar,,,,DH PACE COMP INC
CANDICE CUOCO,1,1,3,660722,3,660722,0,,0,3,4.2,2021,2021,1,DEPT OF HEALTH SERVICES,new_vendor_large,,,,CANDICE CUOCO
ADVENT SOFTWARE INC,1,1,3,882661,2,578520,0,,0,3,4.2,2021,2022,1,ARIZONA STATE RETIREMENT SYSTEM (ASRS),new_vendor_large,,,,ADVENT SOFTWARE INC
SMITH ALSTON DARNER & LEE FREDRICK JOSHUA MORRIS,1,1,1,200000,1,200000,0,,0,3,4.2,2023,2023,1,DEPT OF ADMINISTRATION,new_vendor_large,,,,SMITH ALSTON DARNER & LEE FREDRICK JOSHUA MORRIS
RASMUSSEN INJURY LAW PLLC,1,1,2,1300000,1,500000,0,,0,3,4.2,2022,2024,1,DEPT OF ADMINISTRATION,new_vendor_large,false_positive_marker,2,"Rasmussen Injury Law PLLC is an established Arizona personal-injury law firm (offices in Mesa, Tucson, and Glendale), led by owner Chase Rasmussen, handling car/truck/motorcycle accident and wrongful-death claims. An $800K payment from the state's risk-management loss fund is consistent with a liability settlement paid to/through such a firm.",RASMUSSEN INJURY LAW PLLC
MARICOPA COUNTY MUNICIPAL WATER CONSERVATION DISTRICT NUMBER,1,1,2,6988188,2,6988188,0,,2,2,3.9,2022,2022,1,DEPT OF TRANSPORTATION,whole_dollar,,,,MARICOPA COUNTY MUNICIPAL WATER CONSERVATION DISTRICT NUMBER
D SQUARE CONSTRUCTION LLC,1,1,1,179613,1,179613,0,,0,3,3.9,2018,2018,1,DEPT OF ADMINISTRATION,new_vendor_large,,,,D SQUARE CONSTRUCTION LLC
BLUE WORLD CONSTRUCTION INC,1,1,2,460040,1,175000,0,,0,3,3.9,2023,2024,1,GAME AND FISH DEPARTMENT,whole_dollar,,,,BLUE WORLD CONSTRUCTION INC
ATC GROUP SERVICES INC,1,2,17,2762100,1,118820,0,,0,3,3.9,2016,2025,2,DEPT OF ENVIRONMENTAL QUALITY|DEPT OF TRANSPORTATION,whole_dollar,,,,ATC GROUP SERVICES INC
NORMENT SECURITY GROUP INC,1,2,18,2877167,2,461058,0,,0,3,3.9,2018,2021,1,DEPT OF CORRECTIONS,whole_dollar,,,,NORMENT SECURITY GROUP INC
VEREGY DER & ELECTRICAL LLC,1,1,3,514493,2,309728,0,,0,3,3.9,2024,2024,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,whole_dollar,,,,VEREGY DER & ELECTRICAL LLC
ARIZONA ESCROW & FINANCIAL CORPORATION,1,1,2,564292,2,564292,0,,0,3,3.9,2017,2017,1,DEPT OF VETERANS SERVICES,new_vendor_large,,,,ARIZONA ESCROW & FINANCIAL CORPORATION
GONZALO MARQUEZ,1,0,1,155132,1,155132,0,,0,3,3.9,2020,2020,1,DEPT OF TRANSPORTATION,person_name_payee,,,,GONZALO MARQUEZ
COMBS CONSTRUCTION CO INC,1,2,214,75387718,153,55946205,0,,0,3,3.9,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar,,,,COMBS CONSTRUCTION CO INC
CALIENTE CONSTRUCTION INC,1,2,19,4740766,1,168191,0,,0,3,3.9,2016,2022,4,DEPT OF EMERGENCY AND MILITARY AFFAIRS|PARKS BOARD|GAME AND FISH DEPARTMENT|DEPT OF ADMINISTRATION,whole_dollar,,,,CALIENTE CONSTRUCTION INC
CITY OF PHOENIX ARIZONA,1,4,63,33700307,1,915490,0,,0,3,3.9,2016,2020,3,ATTORNEY GENERAL (DEPT OF LAW)|DEPT OF CHILD SAFETY|DEPT OF TRANSPORTATION,whole_dollar,,,,CITY OF PHOENIX ARIZONA
MERIDIAM PARTNERS LLC,1,1,2,324132,2,324132,0,,0,3,3.9,2023,2023,1,GAME AND FISH DEPARTMENT,new_vendor_large,,,,MERIDIAM PARTNERS LLC
BUNGER STEEL INC,1,1,3,780861,3,780861,0,,0,3,3.9,2021,2023,1,COTTON RESEARCH AND PROTECTION COUNCIL,whole_dollar,,,,BUNGER STEEL INC
INTER-MOUNTAIN WEST CIVIL CONST INC,1,1,23,4006727,11,1845750,0,,0,3,3.9,2016,2020,2,GAME AND FISH DEPARTMENT|DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,INTER-MOUNTAIN WEST CIVIL CONST INC
TITLE ALLIANCE OF THE VALLEY AGENCY LLC,1,0,5,6482721,3,1236960,0,,0,3,3.9,2019,2019,1,DEPT OF TRANSPORTATION,whole_dollar,,,,TITLE ALLIANCE OF THE VALLEY AGENCY LLC
DESERT WEST COMMERCIAL LLC,1,0,1,145500,1,145500,0,,0,3,3.9,2019,2019,1,GAME AND FISH DEPARTMENT,whole_dollar,,,,DESERT WEST COMMERCIAL LLC
KWR CONSTRUCTION INC,1,1,7,1716298,2,342789,0,,0,3,3.9,2024,2025,3,DEPT OF CORRECTIONS|GAME AND FISH DEPARTMENT|DEPT OF EMERGENCY AND MILITARY AFFAIRS,whole_dollar,,,,KWR CONSTRUCTION INC
BILL STACEY CONSTRUCTION INC,1,2,22,5890986,7,1444996,0,,0,3,3.9,2017,2023,1,DEPT OF ADMINISTRATION,whole_dollar,,,,BILL STACEY CONSTRUCTION INC
CITY OF DOUGLAS,1,5,32,21415874,1,212197,0,,0,3,3.9,2016,2025,7,DEPT OF CORRECTIONS|ARIZONA FINANCE AUTHORITY|DEPT OF TRANSPORTATION|GOVERNOR'S OFFICE|DEPT OF HOMELAND SECURITY|DEPT OF EMERGENCY AND MILITARY AFFAIRS|WATER INFRASTRUCTURE FINANCE AUTHORITY,whole_dollar,,,,CITY OF DOUGLAS
DB IMPORTERS LLC,1,0,1,102358,1,102358,0,,0,3,3.9,2019,2019,1,DEPT OF TRANSPORTATION,whole_dollar,,,,DB IMPORTERS LLC
URBAN ENERGY SOLUTIONS INC,1,1,15,2696852,2,344684,0,,0,3,3.9,2019,2024,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,whole_dollar,,,,URBAN ENERGY SOLUTIONS INC
DESIGN MODULARS INC,1,1,3,495886,3,495886,0,,0,3,3.9,2019,2021,1,DEPT OF PUBLIC SAFETY,offcontract|whole_dollar,,,,DESIGN MODULARS INC
PLG LLC,1,1,1,279448,1,279448,0,,0,3,3.9,2025,2025,1,GAME AND FISH DEPARTMENT,new_vendor_large,,,,PLG LLC
AIRGAS WEST INC,1,0,1,119845,1,119845,0,,0,3,3.9,2019,2019,1,GAME AND FISH DEPARTMENT,whole_dollar,,,,AIRGAS WEST INC
RELUMINATION LLC,1,0,1,109156,1,109156,0,,0,3,3.9,2019,2019,1,PARKS BOARD,whole_dollar,,,,RELUMINATION LLC
BAYLEY CONSTRUCTION GP DBA RONALD E BAYLEY CONSTRUCTION OF A,1,1,6,1448056,4,958095,0,,0,3,3.9,2016,2016,1,DEPT OF TRANSPORTATION,whole_dollar,,,,BAYLEY CONSTRUCTION GP DBA RONALD E BAYLEY CONSTRUCTION OF A
CITY OF TOLLESON,1,2,5,3800810,1,333577,0,,0,3,3.9,2020,2025,3,GOVERNOR'S OFFICE|DEPT OF ADMINISTRATION|DEPT OF TRANSPORTATION,whole_dollar,,,,CITY OF TOLLESON
ROOSEVELT IRIGATION DISTRICT,1,2,12,3179486,1,144279,0,,0,3,3.9,2016,2025,3,WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA|DEPT OF ENVIRONMENTAL QUALITY|DEPT OF TRANSPORTATION,whole_dollar,,,,ROOSEVELT IRIGATION DISTRICT
QUAIL CONSTRUCTION LLC,1,1,1,100240,1,100240,0,,0,3,3.9,2025,2025,1,DEPT OF TRANSPORTATION,whole_dollar,,,,QUAIL CONSTRUCTION LLC
MILLS DESIGN GROUP,1,2,10,1339249,3,408779,0,,0,3,3.9,2017,2022,3,DEPT OF TRANSPORTATION|DEPT OF EMERGENCY AND MILITARY AFFAIRS|GAME AND FISH DEPARTMENT,new_vendor_large,,,,MILLS DESIGN GROUP
CML SECURITY LLC,1,1,2,319030,1,118939,0,,0,3,3.9,2018,2019,1,DEPT OF CORRECTIONS,new_vendor_large,,,,CML SECURITY LLC
TECHNO CNC SYSTEMS,1,0,1,105460,1,105460,0,,0,3,3.9,2019,2019,1,DEPT OF CORRECTIONS,whole_dollar,,,,TECHNO CNC SYSTEMS
"PATH CONSTRUCTION SOUTHWEST, LLC",1,0,2,537408,1,351684,0,,0,3,3.9,2019,2020,1,GAME AND FISH DEPARTMENT,whole_dollar,,,,"PATH CONSTRUCTION SOUTHWEST, LLC"
DAVES CONSTRUCTION SERVICE INC,1,1,1,105567,1,105567,0,,0,3,3.9,2021,2021,1,DEPT OF TRANSPORTATION,new_vendor_large,,,,DAVES CONSTRUCTION SERVICE INC
KENNETH PORTER,1,1,8,1659412,5,1019522,0,,0,3,3.9,2022,2025,1,DEPT OF CORRECTIONS,offcontract|new_vendor_large|whole_dollar,,,,KENNETH PORTER
DBA CONSTRUCTION INC,1,2,37,8507055,16,3738265,0,,0,3,3.9,2016,2025,2,DEPT OF TRANSPORTATION|GAME AND FISH DEPARTMENT,offcontract|whole_dollar,,,,DBA CONSTRUCTION INC
STANDARD CONSTRUCTION CO INC,2,2,16,8495166,1,150997,0,,0,3,3.9,2016,2025,2,DEPT OF TRANSPORTATION|DEPT OF ADMINISTRATION,whole_dollar,,,,STANDARD CONSTRUCTION CO INC
WW GRAINGER INC,1,1,20,3690757,2,302260,0,,0,3,3.9,2019,2025,7,DEPT OF EDUCATION|EXPOSITION AND STATE FAIR BOARD|DEPT OF TRANSPORTATION|DEPT OF CORRECTIONS|DEPT OF ADMINISTRATION|DEPT OF PUBLIC SAFETY|DEPT OF HEALTH SERVICES,whole_dollar|offcontract,,,,WW GRAINGER INC
TUCSON WINNELSON,1,1,1,115164,1,115164,0,,0,3,3.9,2024,2024,1,GAME AND FISH DEPARTMENT,person_name_payee,,,,TUCSON WINNELSON
NATURAL POWER AND ENERGY,1,1,3,748409,3,748409,0,,0,3,3.9,2017,2017,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,new_vendor_large,,,,NATURAL POWER AND ENERGY
TOWN OF QUEEN CREEK - RECREATION SERVICES DIVISION,1,1,2,60129895,1,329895,0,,0,3,3.9,2024,2025,1,DEPT OF TRANSPORTATION,whole_dollar,,,,TOWN OF QUEEN CREEK - RECREATION SERVICES DIVISION
MARICOPA COUNTY DEPT,1,0,6,11304585,2,394042,0,,0,3,3.9,2019,2020,1,DEPT OF TRANSPORTATION,whole_dollar,,,,MARICOPA COUNTY DEPT
PUEBLO MECHANICAL & CONTROLS INC,1,1,17,4143801,3,1301545,0,,1,2,3.9,2016,2018,2,DEPT OF CORRECTIONS|DEPT OF ADMINISTRATION,whole_dollar|offcontract,,,,PUEBLO MECHANICAL & CONTROLS INC
MCCORMICK CONSTRUCTION CO,2,2,36,7551108,29,6283215,0,,0,3,3.9,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,MCCORMICK CONSTRUCTION CO
HENRY T. TOOLE III,1,0,1,603776,1,603776,0,,0,3,3.9,2019,2019,1,DEPT OF TRANSPORTATION,whole_dollar,,,,HENRY T. TOOLE III
COPPERSTATE FIRE PROTECTION,1,1,34,8885724,4,590847,0,,0,3,3.9,2023,2025,1,DEPT OF CORRECTIONS,whole_dollar,,,,COPPERSTATE FIRE PROTECTION
PUEBLO MECHANICAL & CONTROL INC,1,2,19,4273645,1,269415,0,,0,3,3.9,2018,2024,4,DEPT OF CORRECTIONS|DEPT OF EMERGENCY AND MILITARY AFFAIRS|DEPT OF ECONOMIC SECURITY|DEPT OF ADMINISTRATION,whole_dollar,,,,PUEBLO MECHANICAL & CONTROL INC
RKS PLUMBING & MECHANICAL INC,1,1,7,1194528,2,282044,0,,0,3,3.9,2021,2023,2,DEPT OF EMERGENCY AND MILITARY AFFAIRS|DEPT OF ADMINISTRATION,whole_dollar,,,,RKS PLUMBING & MECHANICAL INC
CITY OF CASA GRANDE,1,2,19,15831388,1,122767,0,,0,3,3.9,2016,2025,7,DEPT OF TRANSPORTATION|GOVERNOR'S OFFICE|DEPT OF HOMELAND SECURITY|OFFICE OF TOURISM|WATER INFRASTRUCTURE FINANCE AUTHORITY|WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA|DEPT OF EMERGENCY AND MILITARY AFFAIRS,whole_dollar,,,,CITY OF CASA GRANDE
PCL CONSTRUCTION INC,2,1,30,13515487,2,1013480,0,,0,3,3.9,2019,2025,2,DEPT OF TRANSPORTATION|DEPT OF ADMINISTRATION,whole_dollar,,,,PCL CONSTRUCTION INC
DOLPHIN INCORPORATED,1,1,26,18607379,21,17713272,0,,0,3,3.9,2017,2020,1,DEPT OF TRANSPORTATION,offcontract|no_contract_named|whole_dollar,,,,DOLPHIN INCORPORATED
YUMA COUNTY,1,3,1698,536623828,1,199712,0,,0,3,3.9,2016,2025,16,DEPT OF EDUCATION|DEPT OF HOMELAND SECURITY|GOVERNOR'S OFFICE|SECRETARY OF STATE (DEPT OF STATE)|DEPT OF TRANSPORTATION|DEPT OF ADMINISTRATION|CRIMINAL JUSTICE COMMISSION|SUPREME COURT|SCHOOL FACILITIES BOARD|DEPT OF PUBLIC SAFETY|DEPT OF HOUSING|DEPT OF EMERGENCY AND MILITARY AFFAIRS|PARKS BOARD|WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA|DEPT OF ECONOMIC SECURITY|DEPT OF HEALTH SERVICES,whole_dollar,,,,YUMA COUNTY
TIFFANY & BOSCO P A,1,1,5,1916561,2,1498606,0,,0,3,3.9,2016,2020,3,STATE TREASURER|DEPT OF TRANSPORTATION|DEPT OF ADMINISTRATION,offcontract|whole_dollar,,,,TIFFANY & BOSCO P A
TOTAL MAINTENANCE EROSION CONTROL,1,1,1,356488,1,356488,0,,0,3,3.9,2024,2024,1,GAME AND FISH DEPARTMENT,new_vendor_large,,,,TOTAL MAINTENANCE EROSION CONTROL
"DESIGN MODULARS\, INC.",1,1,2,267500,2,267500,0,,0,3,3.9,2018,2018,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,"DESIGN MODULARS\, INC."
DOT FEDERAL HIGHWAY ADMINISTRATION,1,1,4,4614530,3,2945000,0,,1,2,3.9,2016,2019,2,DEPT OF TRANSPORTATION|PARKS BOARD,whole_dollar,,,,DOT FEDERAL HIGHWAY ADMINISTRATION
MOBILE COMMUNICATIONS AMERICA,1,1,2,223782,2,223782,0,,0,3,3.6,2025,2025,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,MOBILE COMMUNICATIONS AMERICA
MONMOUTH SOLUTIONS INC,1,1,1,105989,1,105989,0,,0,3,3.6,2023,2023,1,GAME AND FISH DEPARTMENT,whole_dollar,,,,MONMOUTH SOLUTIONS INC
ADVANCED HEALTHSTYLES,1,1,1,101302,1,101302,0,,0,3,3.6,2023,2023,1,DEPT OF PUBLIC SAFETY,new_vendor_large,,,,ADVANCED HEALTHSTYLES
COCHISE,1,1,2,334639,1,224000,0,,0,3,3.6,2024,2024,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,COCHISE
PROGRESS RAIL SERVICES CORP,1,1,1,263489,1,263489,0,,0,3,3.6,2024,2024,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,new_vendor_large,,,,PROGRESS RAIL SERVICES CORP
CODEX CORPORATION,1,1,2,510640,1,403218,0,,0,3,3.6,2025,2025,1,DEPT OF CORRECTIONS,whole_dollar,,,,CODEX CORPORATION
THERMO EBERLLINE CORPORATION,1,1,1,136000,1,136000,0,,0,3,3.6,2016,2016,1,RADIATION REGULATORY AGENCY,whole_dollar,,,,THERMO EBERLLINE CORPORATION
COMPUTECH INTERNATIONAL,1,1,2,562000,1,119875,0,,0,3,3.6,2017,2019,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,COMPUTECH INTERNATIONAL
VALMONT INDUSTRIES INC,1,1,1,112625,1,112625,0,,0,3,3.6,2017,2017,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,VALMONT INDUSTRIES INC
RELM WIRELESS CORP,1,1,1,116312,1,116312,0,,0,3,3.6,2025,2025,1,DEPT OF FORESTRY AND FIRE MANAGEMENT,new_vendor_large,,,,RELM WIRELESS CORP
GRUBER INDUSTRIES,1,1,5,981858,1,284197,0,,0,3,3.6,2025,2025,1,SUPREME COURT,whole_dollar,,,,GRUBER INDUSTRIES
RMUS LLC,1,1,1,241920,1,241920,0,,0,3,3.6,2022,2022,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,RMUS LLC
CEPHEID,1,1,1,147390,1,147390,0,,0,3,3.6,2022,2022,1,DEPT OF HEALTH SERVICES,whole_dollar,,,,CEPHEID
ILLUMINA INC,1,1,5,1667792,1,691239,0,,0,3,3.6,2021,2023,1,DEPT OF HEALTH SERVICES,whole_dollar,,,,ILLUMINA INC
DELL MARKETING LP,1,2,55,11100024,11,1996992,0,,0,3,3.6,2016,2025,15,BOARD OF REGENTS|DEPT OF ADMINISTRATION|MEDICAL BOARD|DEPT OF REVENUE|DEPT OF TRANSPORTATION|SECRETARY OF STATE (DEPT OF STATE)|DEPT OF HEALTH SERVICES|AHCCCS|DEPT OF ECONOMIC SECURITY|SUPREME COURT|DEPT OF PUBLIC SAFETY|REGISTRAR OF CONTRACTORS|ATTORNEY GENERAL (DEPT OF LAW)|DEPT OF INSURANCE AND FINANCIAL INSTITUTIONS|DEPT OF CORRECTIONS,offcontract|whole_dollar,,,,DELL MARKETING LP
ATLANTA FORK LIFTS INC,1,1,1,199899,1,199899,0,,0,3,3.6,2024,2024,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,ATLANTA FORK LIFTS INC
STOCK ENTERPRISES,1,1,9,1626623,1,103303,0,,0,3,3.6,2021,2025,1,DEPT OF PUBLIC SAFETY,new_vendor_large,,,,STOCK ENTERPRISES
PROMEGA CORP,1,1,4,602098,3,485375,0,,0,3,3.6,2019,2025,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,PROMEGA CORP
KELLER MANUFACTURING INC,1,1,1,181600,1,181600,0,,0,3,3.6,2022,2022,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,KELLER MANUFACTURING INC
CLEAR LABS INC,1,1,1,260586,1,260586,0,,0,3,3.6,2022,2022,1,DEPT OF HEALTH SERVICES,new_vendor_large,,,,CLEAR LABS INC
"MOBILE CONCEPTS TECHNOLOGY\, LLC",1,1,1,153517,1,153517,0,,0,3,3.6,2018,2018,1,DEPT OF PUBLIC SAFETY,new_vendor_large,,,,"MOBILE CONCEPTS TECHNOLOGY\, LLC"
LENCO INDUSTRIES INC,1,1,3,705543,3,705543,0,,0,3,3.6,2022,2023,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,LENCO INDUSTRIES INC
ARNOLD MACHINERY CO,2,2,3,396510,2,249758,0,,0,3,3.6,2017,2025,2,DEPT OF TRANSPORTATION|DEPT OF EMERGENCY AND MILITARY AFFAIRS,whole_dollar,,,,ARNOLD MACHINERY CO
ROCKWEST TECHNOLOGY GROUP INC,1,2,4,636319,1,105600,0,,0,3,3.6,2017,2024,2,DEPT OF HEALTH SERVICES|DEPT OF PUBLIC SAFETY,whole_dollar,,,,ROCKWEST TECHNOLOGY GROUP INC
COMMERCE TRUCK & EQUIPMENT SALES LLC,1,1,1,180629,1,180629,0,,0,3,3.6,2025,2025,1,DEPT OF PUBLIC SAFETY,new_vendor_large,,,,COMMERCE TRUCK & EQUIPMENT SALES LLC
COX ARIZONA TELCOM LLC,1,1,1,189500,1,189500,0,,0,3,3.6,2023,2023,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,whole_dollar,,,,COX ARIZONA TELCOM LLC
OPEX,1,1,1,133128,1,133128,0,,0,3,3.6,2024,2024,1,DEPT OF ECONOMIC SECURITY,whole_dollar,,,,OPEX
HUMBOLDT SCIENTIFIC INC,1,0,1,184928,1,184928,0,,0,3,3.6,2020,2020,1,DEPT OF TRANSPORTATION,whole_dollar,,,,HUMBOLDT SCIENTIFIC INC
SURFACE SYSTEMS & INSTRUMENTS LLC,1,1,1,116310,1,116310,0,,0,3,3.6,2022,2022,1,DEPT OF TRANSPORTATION,whole_dollar,,,,SURFACE SYSTEMS & INSTRUMENTS LLC
ICOR TECHNOLOGY INC,1,2,2,588140,1,339500,0,,0,3,3.6,2016,2021,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,ICOR TECHNOLOGY INC
GENERAL SERVICES ADMINISTRATION,1,1,2,418550,2,418550,0,,0,3,3.6,2017,2017,1,DEPT OF ECONOMIC SECURITY,whole_dollar,,,,GENERAL SERVICES ADMINISTRATION
22ND CENTURY TECHNOLOGIES INC,1,1,3,337680,1,112560,0,,0,3,3.6,2023,2024,1,DEPT OF HOMELAND SECURITY,new_vendor_large,,,,22ND CENTURY TECHNOLOGIES INC
DESERT TRAILER SYSTEMS INC,1,1,1,222057,1,222057,0,,0,3,3.6,2023,2023,1,DEPT OF CORRECTIONS,new_vendor_large,,,,DESERT TRAILER SYSTEMS INC
CADRE RESEARCH LABS ILLINOIS LLC,1,0,1,270924,1,270924,0,,0,3,3.6,2020,2020,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,CADRE RESEARCH LABS ILLINOIS LLC
ELECTRONIC SECURITY CONCEPTS LLC,1,2,3,673190,1,166000,0,,0,3,3.6,2016,2024,2,DEPT OF PUBLIC SAFETY|DEPT OF HEALTH SERVICES,whole_dollar,,,,ELECTRONIC SECURITY CONCEPTS LLC
SUNSET CES INCORPORATED,1,1,1,171755,1,171755,0,,0,3,3.6,2018,2018,1,DEPT OF ENVIRONMENTAL QUALITY,new_vendor_large,,,,SUNSET CES INCORPORATED
ALLEN ASSOCIATES INC,1,1,1,185000,1,185000,0,,0,3,3.6,2018,2018,1,DEPT OF TRANSPORTATION,whole_dollar,,,,ALLEN ASSOCIATES INC
AIR BURNERS INCORPORATED,1,1,1,131066,1,131066,0,,0,3,3.6,2023,2023,1,DEPT OF TRANSPORTATION,whole_dollar,,,,AIR BURNERS INCORPORATED
VIKEN DETECTION CORPORATION,1,1,3,555776,3,555776,0,,0,3,3.6,2024,2024,1,DEPT OF PUBLIC SAFETY,whole_dollar,,,,VIKEN DETECTION CORPORATION
EMS LINQ INC,2,1,12,1942329,9,1423472,0,,0,3,3.6,2022,2025,2,DEPT OF ADMINISTRATION|DEPT OF EDUCATION,offcontract|new_vendor_large,,,,EMS LINQ INC
SAFEWARE INC,1,1,2,259566,1,156001,0,,0,3,3.6,2024,2025,2,DEPT OF PUBLIC SAFETY|DEPT OF FORESTRY AND FIRE MANAGEMENT,whole_dollar,,,,SAFEWARE INC
"ASR ANALYTICS\, LLC",1,1,14,3142781,1,300530,0,,0,3,3.0,2018,2018,1,DEPT OF REVENUE,offcontract,,,,"ASR ANALYTICS\, LLC"
DIBBLE AND ASSOC CONSULTING ENGR INC,1,1,1,102357,1,102357,0,,0,3,3.0,2016,2016,1,DEPT OF TRANSPORTATION,offcontract,,,,DIBBLE AND ASSOC CONSULTING ENGR INC
DISTRICT MEDICAL GROUP,1,2,2,220675,1,120412,0,,0,3,3.0,2025,2025,2,DEPT OF CHILD SAFETY|AHCCCS,offcontract,,,,DISTRICT MEDICAL GROUP
OASIS BH HOSPITAL-CHANDLE,1,1,3,443627,1,166391,0,,0,3,3.0,2021,2025,2,DEPT OF CHILD SAFETY|AHCCCS,offcontract,,,,OASIS BH HOSPITAL-CHANDLE
FEDERAL EMERGENCY MANAGEMENT AGENCY,1,1,1,134934,1,134934,0,,0,3,3.0,2017,2017,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,offcontract,,,,FEDERAL EMERGENCY MANAGEMENT AGENCY
DEVEREUX FOUNDATION,2,2,17,1955347,1,183938,0,,0,3,3.0,2018,2025,2,DEPT OF EDUCATION|DEPT OF CHILD SAFETY,offcontract,,,,DEVEREUX FOUNDATION
FORT MCDOWELL YAVAPAI NATION,1,2,3,455867,2,311586,0,,0,3,3.0,2020,2024,2,DEPT OF WATER RESOURCES|DEPT OF EDUCATION,offcontract,,,,FORT MCDOWELL YAVAPAI NATION
FAMILY AND YOUTH INTERVEN,1,1,1,163714,1,163714,0,,0,3,3.0,2024,2024,1,DEPT OF CHILD SAFETY,offcontract,,,,FAMILY AND YOUTH INTERVEN
